"","%IncMSE","IncNodePurity"
"NEAR BAY",439064782.983174,1429733091777.89
"<1H OCEAN",1502078043.92301,4109120828811.6
"INLAND",3804098940.68949,29605724565389
"NEAR OCEAN",496136858.986433,2288036497488.34
"ISLAND",1814986.77253898,72753944699.8641
"longitude",6749900212.70824,24983099396845.3
"latitude",5581323361.81956,23109082276964.3
"housing_median_age",1108700975.47273,9848265723886.7
"population",1053396445.82683,7400541925212.79
"households",1193137715.28028,7936969563752.43
"median_income",8593978794.98797,74700526897712.4
"mean_bedrooms",406618730.701703,7506090703875.25
"mean_rooms",1791194249.29901,20807345592793.2
